sink_id,timestamp,cur_time,throughput
1,1565729320423,1565729338751,10550
1,1565729321161,1565729339252,15848
1,1565729322136,1565729339852,13316
1,1565729322476,1565729340353,12834
1,1565729323285,1565729340953,11816
1,1565729324150,1565729341454,13033
1,1565729324871,1565729342053,11502
1,1565729325232,1565729342554,11676
1,1565729326041,1565729343055,15788
1,1565729326822,1565729343655,13383
1,1565729327564,1565729344156,16407
1,1565729328306,1565729344755,13388
1,1565729329115,1565729345256,15229
1,1565729329768,1565729345757,11656
1,1565729330383,1565729346261,11706
1,1565729331062,1565729346762,17804
1,1565729332016,1565729347362,15233
1,1565729332825,1565729347863,15269
1,1565729333606,1565729348364,15369
1,1565729334348,1565729348963,11569
1,1565729335157,1565729349464,14890
1,1565729335726,1565729349965,14191
1,1565729336468,1565729350524,13166
1,1565729336998,1565729351065,11072
1,1565729337701,1565729351566,13233
1,1565729338545,1565729352166,11616
1,1565729339079,1565729352667,13632
1,1565729339648,1565729353267,11150
1,1565729340139,1565729353810,7034
1,1565729340983,1565729354410,12100
1,1565729341619,1565729354911,12375
1,1565729342298,1565729355511,12083
1,1565729342934,1565729356012,10918
1,1565729343654,1565729356513,13632
1,1565729344290,1565729357112,9716
1,1565729344948,1565729357613,14331
1,1565729345651,1565729358124,13522
1,1565729346389,1565729358625,11936
1,1565729347046,1565729359224,10267
1,1565729347873,1565729359725,14091
1,1565729348509,1565729360226,12614
1,1565729349145,1565729360826,10766
1,1565729349696,1565729361327,12774
1,1565729350120,1565729361838,7084
1,1565729350884,1565729362339,14351
1,1565729351693,1565729362939,11916
1,1565729352541,1565729363440,17704
1,1565729353088,1565729363941,13353
1,1565729353813,1565729364540,9749
1,1565729354445,1565729365041,13373
1,1565729355081,1565729365591,12000
1,1565729355823,1565729366092,15269
1,1565729356608,1565729366593,15848
1,1565729357519,1565729367192,12454
1,1565729358265,1565729367693,15229
1,1565729358706,1565729368194,13972
1,1565729359639,1565729368794,10116
1,1565729360275,1565729369316,11436
1,1565729361017,1565729369817,16966
